,0,1,2,3,4
69,3.7930317,7.482152,2.779689,0.0,0.5375
70,4.867446,2.2557292,3.0956216,0.0,4.102375
71,2.1206741,2.3383553,3.2895095,0.0,2.5427732
72,2.0086927,3.8138285,0.14083755,0.0,2.6924736
73,1.9586679,2.0853488,2.359562,0.0,3.8067453
74,6.915619,0.72454935,4.5614758,0.0,2.8961904
75,5.4724655,2.0754902,2.0051281,0.0,2.8248432
76,6.085333,2.5760162,3.568824,0.0,3.9094188
77,2.1670609,2.1634307,2.4867368,0.0,3.5701911
78,3.949545,2.8022144,3.5036886,0.0,4.054246
79,3.109895,2.7322507,3.1783042,0.0,2.7356336
80,0.87360185,4.500706,0.8922512,0.0,1.0513798
81,1.2256587,4.400419,0.5879495,0.0,3.0060213
82,4.2716947,6.167353,0.7652605,0.0,0.12818983
83,2.2827835,2.2493486,2.4317648,0.0,4.2790737
84,2.2665179,4.081131,0.3893178,0.0,2.4444225
85,1.5039328,4.8578715,0.45483372,0.0,2.2797596
86,1.0056071,2.9640043,2.2875473,0.0,3.5517285
87,2.059684,2.2672758,2.4449744,0.0,4.2658596
88,0.6817146,5.042154,1.9341044,0.0,1.0153652
89,0.6538431,3.4012966,3.2915545,0.0,2.5197847
90,8.4593115,1.0572629,5.4065723,0.0,1.8210789
91,0.98821616,3.2518563,5.2517567,0.0,1.81556
92,1.0681559,3.5646126,3.413482,0.0,2.8101625
93,2.156078,2.1173177,2.4542007,0.0,3.583781
94,3.8677511,0.65859056,1.3858497,0.0,3.120055
95,2.68233,2.3220115,0.44187397,0.0,6.4206257
96,0.53312117,3.5183506,1.9183125,0.0,2.7699974
97,4.8130484,0.053750873,3.0104394,0.0,3.0949442
98,2.0595076,6.5249896,1.9180789,0.0,0.010932833
99,0.8148231,3.7639709,4.4301896,0.0,2.2994902
100,1.7111578,2.9306927,4.0056777,0.0,3.6067324
101,2.3793435,4.9821553,0.0,0.0,2.824201
102,0.6441728,4.4458055,1.1714466,0.0,1.8478519
103,1.5085751,4.9807696,0.600665,0.0,1.9415656
104,0.50539184,2.4229069,1.8555772,0.0,2.2994587
105,3.130866,5.4902577,1.553067,0.0,1.6875613
106,3.2547877,2.009315,2.1607168,0.0,3.8515718
107,0.45885944,2.262572,1.9273088,0.0,2.3310409
108,0.933229,4.7753673,1.1429648,0.0,1.4613582
109,1.9889299,2.3114893,2.5670364,0.0,4.1831617
110,3.299909,2.8632722,3.2655025,0.0,2.5599053
111,0.45940334,5.101884,3.6419966,0.0,0.9942714
112,7.3841715,1.3727117,4.1744905,0.0,3.264744
113,1.3891498,2.8274884,3.4772537,0.0,3.5676723
114,4.704481,1.1999972,1.6043675,0.0,2.8072157
115,3.1974216,2.0623562,2.2048564,0.0,3.8321917
116,8.11495,1.8238764,4.071846,0.0,2.626278
117,6.005148,0.14786398,4.5654535,0.0,2.6531765
118,4.679449,1.4328486,1.7222271,0.0,3.2553635
119,8.565126,3.7559583,4.377803,0.0,3.1919668
120,0.6439166,1.7755876,2.387459,0.0,3.2370298
121,0.80457217,1.7700984,2.2286997,0.0,3.5238655
122,6.74741,2.8764374,3.783208,0.0,3.5674534
123,3.8760026,0.59371424,1.3799181,0.0,3.1982148
124,2.6795063,2.3185444,0.43344182,0.0,6.430394
125,0.47360432,1.980653,2.211312,0.0,2.9248183
126,5.904003,9.1830635,3.3478355,0.0,0.49829742
127,1.3598833,1.998108,3.5208955,0.0,2.579579
128,7.8339577,0.13242096,8.917302,0.0,0.49578372
